siglaPartido,nome,grupo
PL,Abilio Brunini,oposicao
MDB,Acácio Favacho,centrao_mdb
REPUBLICANOS,Adail Filho,centrao_mdb
PL,Adilson Barroso,oposicao
PSDB,Adolfo Viana,centrao_uniao
NOVO,Adriana Ventura,outros
PP,Adriano do Baldy,centrao_uniao
PSDB,Aécio Neves,centrao_uniao
PP,Afonso Hamm,centrao_uniao
PDT,Afonso Motta,centrao_uniao
PP,Aguinaldo Ribeiro,centrao_uniao
PT,Airton Faleiro,governo
PP,AJ Albuquerque,centrao_uniao
PL,Alberto Fraga,oposicao
MDB,Alberto Mourão,centrao_mdb
REPUBLICANOS,Albuquerque,centrao_mdb
MDB,Alceu Moreira,centrao_mdb
PT,Alencar Santana,governo
CIDADANIA,Alex Manente,centrao_uniao
REPUBLICANOS,Alex Santana,centrao_mdb
MDB,Alexandre Guimarães,centrao_mdb
UNIÃO,Alexandre Leite,centrao_uniao
PT,Alexandre Lindenmeyer,governo
PT,Alfredinho,governo
UNIÃO,Alfredo Gaspar,centrao_uniao
PCdoB,Alice Portugal,outros
PV,Aliel Machado,governo
PL,Altineu Côrtes,oposicao
REPUBLICANOS,Aluisio Mendes,centrao_mdb
PL,Amália Barros,oposicao
PP,Amanda Gentil,centrao_uniao
REPUBLICANOS,Amaro Neto,centrao_mdb
CIDADANIA,Amom Mandel,centrao_uniao
PP,Ana Paula Leão,centrao_uniao
PT,Ana Paula Lima,governo
PT,Ana Pimentel,governo
PL,André Fernandes,oposicao
PL,André Ferreira,oposicao
PDT,André Figueiredo,centrao_uniao
AVANTE,André Janones,centrao_uniao
MDB,Andreia Siqueira,centrao_mdb
REPUBLICANOS,Antônia Lúcia,centrao_mdb
REPUBLICANOS,Antonio Andrade,centrao_mdb
PSD,Antonio Brito,centrao_mdb
PL,Antonio Carlos Rodrigues,oposicao
MDB,Antônio Doido,centrao_mdb
CIDADANIA,Any Ortiz,centrao_uniao
PT,Arlindo Chinaglia,governo
CIDADANIA,Arnaldo Jardim,centrao_uniao
PP,Arthur Lira,centrao_uniao
UNIÃO,Arthur Oliveira Maia,centrao_uniao
PSD,Átila Lins,centrao_mdb
PP,Átila Lira,centrao_uniao
REPUBLICANOS,Augusto Coutinho,centrao_mdb
MDB,Augusto Puppio,centrao_mdb
SOLIDARIEDADE,Aureo Ribeiro,centrao_uniao
PV,Bacelar,governo
MDB,Baleia Rossi,centrao_mdb
PSB,Bandeira de Mello,governo
PP,Bebeto,centrao_uniao
PT,Benedita da Silva,governo
UNIÃO,Benes Leocádio,centrao_uniao
PSDB,Beto Pereira,centrao_uniao
PSDB,Beto Richa,centrao_uniao
PL,Bia Kicis,oposicao
PL,Bibo Nunes,oposicao
PT,Bohn Gass,governo
AVANTE,Bruno Farias,centrao_uniao
PODE,Bruno Ganem,centrao_mdb
PL,Cabo Gilberto Silva,oposicao
PT,Camila Jara,governo
PL,Capitão Alberto Neto,oposicao
PL,Capitão Alden,oposicao
PL,Capitão Augusto,oposicao
PL,Carla Zambelli,oposicao
MDB,Carlos Chiodini,centrao_mdb
UNIÃO,Carlos Henrique Gaguim,centrao_uniao
PL,Carlos Jordy,oposicao
PSD,Carlos Sampaio,centrao_mdb
PT,Carlos Veras,governo
PT,Carlos Zarattini,governo
PT,Carol Dartora,governo
PL,Caroline de Toni,oposicao
PSD,Castro Neto,centrao_mdb
PSOL,Célia Xakriabá,governo
MDB,Célio Silveira,centrao_mdb
PSD,Célio Studart,centrao_mdb
REPUBLICANOS,Celso Russomanno,centrao_mdb
PSD,Cezinha de Madureira,centrao_mdb
PSD,Charles Fernandes,centrao_mdb
PSOL,Chico Alencar,governo
S.PART.,Chiquinho Brazão,outros
PL,Chris Tonietto,oposicao
PP,Clarissa Tércio,centrao_uniao
PP,Claudio Cajado,centrao_uniao
MDB,Cleber Verde,centrao_mdb
PV,Clodoaldo Magalhães,governo
MDB,Cobalchini,centrao_mdb
UNIÃO,Coronel Assis,centrao_uniao
PL,Coronel Chrisóstomo,oposicao
PL,Coronel Fernanda,oposicao
PL,Coronel Meira,oposicao
PP,Coronel Telhada,centrao_uniao
UNIÃO,Coronel Ulysses,centrao_uniao
PP,Covatti Filho,centrao_uniao
UNIÃO,Cristiane Lopes,centrao_uniao
PP,Da Vitoria,centrao_uniao
PSDB,Dagoberto Nogueira,centrao_uniao
PCdoB,Daiana Santos,outros
UNIÃO,Dal Barreto,centrao_uniao
UNIÃO,Damião Feliciano,centrao_uniao
PT,Dandara,governo
UNIÃO,Dani Cunha,centrao_uniao
PL,Daniel Agrobom,oposicao
PCdoB,Daniel Almeida,outros
PP,Daniel Barbosa,centrao_uniao
PL,Daniel Freitas,oposicao
PSDB,Daniel Trzeciak,centrao_uniao
UNIÃO,Daniela do Waguinho,centrao_uniao
PL,Daniela Reinehr,oposicao
UNIÃO,Danilo Forte,centrao_uniao
PSD,Darci de Matos,centrao_mdb
UNIÃO,David Soares,centrao_uniao
UNIÃO,Dayany Bittencourt,centrao_uniao
REPUBLICANOS,Defensor Stélio Dener,centrao_mdb
PT,Delegada Adriana Accorsi,governo
AVANTE,Delegada Ione,centrao_uniao
PSD,Delegada Katarina,centrao_mdb
PL,Delegado Caveira,oposicao
PP,Delegado da Cunha,centrao_uniao
PL,Delegado Éder Mauro,oposicao
PP,Delegado Fabio Costa,centrao_uniao
UNIÃO,Delegado Marcelo Freitas,centrao_uniao
UNIÃO,Delegado Matheus Laiola,centrao_uniao
MDB,Delegado Palumbo,centrao_mdb
PL,Delegado Paulo Bilynskyj,oposicao
PL,Delegado Ramagem,oposicao
PDT,Délio Pinheiro,centrao_uniao
PT,Denise Pessôa,governo
PL,Detinha,oposicao
PSD,Diego Andrade,centrao_mdb
PSD,Diego Coronel,centrao_mdb
REPUBLICANOS,Diego Garcia,centrao_mdb
PP,Dilceu Sperafico,centrao_uniao
PT,Dilvanda Faro,governo
PP,Dimas Fabiano,centrao_uniao
PT,Dimas Gadelha,governo
PSD,Domingos Neto,centrao_mdb
PL,Domingos Sávio,oposicao
PDT,Dorinaldo Malafaia,centrao_uniao
UNIÃO,Douglas Viegas,centrao_uniao
PP,Doutor Luizinho,centrao_uniao
PP,Dr. Allan Garcês,centrao_uniao
UNIÃO,Dr. Benjamim,centrao_uniao
UNIÃO,Dr. Fernando Máximo,centrao_uniao
PT,Dr. Francisco,governo
PRD,Dr. Frederico,centrao_uniao
PL,Dr. Jaziel,oposicao
PP,Dr. Luiz Ovando,centrao_uniao
PODE,Dr. Victor Linhalis,centrao_mdb
UNIÃO,Dr. Zacharias Calil,centrao_uniao
MDB,Dra. Alessandra Haber,centrao_mdb
REPUBLICANOS,Duarte Gonçalves Jr,centrao_mdb
PSB,Duarte Jr.,governo
MDB,Duda Ramos,centrao_mdb
PDT,Duda Salabert,centrao_uniao
PDT,Eduardo Bismarck,centrao_uniao
PL,Eduardo Bolsonaro,oposicao
PP,Eduardo da Fonte,centrao_uniao
UNIÃO,Eduardo Velloso,centrao_uniao
MDB,Elcione Barbalho,centrao_mdb
PL,Eli Borges,oposicao
UNIÃO,Elmar Nascimento,centrao_uniao
REPUBLICANOS,Ely Santos,centrao_mdb
MDB,Emanuel Pinheiro Neto,centrao_mdb
PL,Emidinho Madeira,oposicao
PSB,Eriberto Medeiros,governo
PSOL,Erika Hilton,governo
PT,Erika Kokay,governo
PL,Eros Biondini,oposicao
MDB,Eunício Oliveira,centrao_mdb
PP,Evair Vieira de Melo,centrao_uniao
PODE,Fábio Macedo,centrao_mdb
UNIÃO,Fabio Schiochet,centrao_uniao
MDB,Fábio Teruel,centrao_mdb
PP,Fausto Pinato,centrao_uniao
PSB,Felipe Carreras,governo
UNIÃO,Felipe Francischini,centrao_uniao
PDT,Félix Mendonça Júnior,centrao_uniao
PSOL,Fernanda Melchionna,governo
UNIÃO,Fernanda Pessoa,centrao_uniao
UNIÃO,Fernando Coelho Filho,centrao_uniao
PT,Fernando Mineiro,governo
PP,Fernando Monteiro,centrao_uniao
PL,Fernando Rodolfo,oposicao
PL,Filipe Barros,oposicao
PL,Filipe Martins,oposicao
PDT,Flávia Morais,centrao_uniao
PT,Flávio Nogueira,governo
PT,Florentino Neto,governo
REPUBLICANOS,Franciane Bayer,centrao_mdb
PRD,Fred Costa,centrao_uniao
REPUBLICANOS,Fred Linhares,centrao_mdb
REPUBLICANOS,Gabriel Mota,centrao_mdb
PSD,Gabriel Nunes,centrao_mdb
PL,General Girão,oposicao
PL,General Pazuello,oposicao
PSDB,Geovania de Sá,centrao_uniao
UNIÃO,Geraldo Mendes,centrao_uniao
PSDB,Geraldo Resende,centrao_uniao
PP,Gerlen Diniz,centrao_uniao
PSB,Gervásio Maia,governo
PL,Giacobo,oposicao
REPUBLICANOS,Gilberto Abramo,centrao_mdb
PSD,Gilberto Nascimento,centrao_mdb
PODE,Gilson Daniel,centrao_mdb
NOVO,Gilson Marques,outros
PL,Gilvan da Federal,oposicao
REPUBLICANOS,Gilvan Maximo,centrao_mdb
PL,Giovani Cherini,oposicao
UNIÃO,Gisela Simona,centrao_uniao
PSOL,Glauber Braga,governo
