idVotacao;uriVotacao;dataHoraVoto;voto;deputado_id;deputado_uri;deputado_nome;deputado_siglaPartido;deputado_uriPartido;deputado_siglaUf;deputado_idLegislatura;deputado_urlFoto
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;69871;https://dadosabertos.camara.leg.br/api/v2/deputados/69871;Bacelar;PV;https://dadosabertos.camara.leg.br/api/v2/partidos/36851;BA;57;https://www.camara.leg.br/internet/deputado/bandep/69871.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204374;https://dadosabertos.camara.leg.br/api/v2/deputados/204374;Bia Kicis;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;DF;57;https://www.camara.leg.br/internet/deputado/bandep/204374.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204572;https://dadosabertos.camara.leg.br/api/v2/deputados/204572;Capitão Alberto Neto;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;AM;57;https://www.camara.leg.br/internet/deputado/bandep/204572.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204369;https://dadosabertos.camara.leg.br/api/v2/deputados/204369;Caroline de Toni;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;SC;57;https://www.camara.leg.br/internet/deputado/bandep/204369.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Sim;206018;https://dadosabertos.camara.leg.br/api/v2/deputados/206018;Célia Xakriabá;PSOL;https://dadosabertos.camara.leg.br/api/v2/partidos/36839;MG;57;https://www.camara.leg.br/internet/deputado/bandep/206018.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204504;https://dadosabertos.camara.leg.br/api/v2/deputados/204504;Cezinha de Madureira;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;SP;57;https://www.camara.leg.br/internet/deputado/bandep/204504.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Sim;74171;https://dadosabertos.camara.leg.br/api/v2/deputados/74171;Chico Alencar;PSOL;https://dadosabertos.camara.leg.br/api/v2/partidos/36839;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/74171.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204462;https://dadosabertos.camara.leg.br/api/v2/deputados/204462;Chris Tonietto;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;RJ;57;https://www.camara.leg.br/internet/deputado/bandep/204462.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;220666;https://dadosabertos.camara.leg.br/api/v2/deputados/220666;Coronel Meira;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;PE;57;https://www.camara.leg.br/internet/deputado/bandep/220666.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;220539;https://dadosabertos.camara.leg.br/api/v2/deputados/220539;Defensor Stélio Dener;REPUBLICANOS;https://dadosabertos.camara.leg.br/api/v2/partidos/37908;RR;57;https://www.camara.leg.br/internet/deputado/bandep/220539.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;220649;https://dadosabertos.camara.leg.br/api/v2/deputados/220649;Delegado da Cunha;PP;https://dadosabertos.camara.leg.br/api/v2/partidos/37903;SP;57;https://www.camara.leg.br/internet/deputado/bandep/220649.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204512;https://dadosabertos.camara.leg.br/api/v2/deputados/204512;Delegado Marcelo Freitas;UNIÃO;https://dadosabertos.camara.leg.br/api/v2/partidos/38009;MG;57;https://www.camara.leg.br/internet/deputado/bandep/204512.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;220691;https://dadosabertos.camara.leg.br/api/v2/deputados/220691;Diego Coronel;PSD;https://dadosabertos.camara.leg.br/api/v2/partidos/36834;BA;57;https://www.camara.leg.br/internet/deputado/bandep/220691.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204481;https://dadosabertos.camara.leg.br/api/v2/deputados/204481;Dr. Jaziel;PL;https://dadosabertos.camara.leg.br/api/v2/partidos/37906;CE;57;https://www.camara.leg.br/internet/deputado/bandep/204481.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;204541;https://dadosabertos.camara.leg.br/api/v2/deputados/204541;Eduardo Bismarck;PDT;https://dadosabertos.camara.leg.br/api/v2/partidos/36786;CE;57;https://www.camara.leg.br/internet/deputado/bandep/204541.jpg
1301141-69;https://dadosabertos.camara.leg.br/api/v2/votacoes/1301141-69;2024-04-16T18:18:50;Não;66828;https://dadosabertos.camara.leg.br/api/v2/deputados/66828;Fausto Pinato;PP;https://dadosabertos.camara.leg.br/api/v2/partidos/37903;SP;57;https://www.camara.leg.br/internet/deputado/bandep/66828.jpg
